IMSI,话单数,短信数,语音时长分钟,上网流量MB,上网时长分钟,平均带宽Kbps,对端号码数,流量4G占比,业务线标识,月份数
908240821770629 ,330.00 ,54.25 ,192.85 ,129.47 ,4452.29 ,516.69 ,19.00 ,1.00 ,2,4
908240821774401 ,16.25 ,8.75 ,2.69 ,0.29 ,43.35 ,213.34 ,3.33 ,1.00 ,1,4
908240821776321 ,107.67 ,33.83 ,119.20 ,7.83 ,65.67 ,2083.75 ,32.33 ,1.00 ,2,6
908240821776791 ,24.00 ,15.20 ,0.87 ,0.50 ,65.53 ,131.59 ,1.00 ,1.00 ,1,5
908240821776811 ,65.33 ,12.33 ,12.06 ,17.07 ,1220.14 ,226.58 ,10.67 ,1.00 ,2,6
908240821777821 ,595.33 ,27.17 ,3.12 ,251.97 ,25742.23 ,139.48 ,4.33 ,0.97 ,2,6
908240821780295 ,259.33 ,20.67 ,10.43 ,97.50 ,7346.38 ,223.25 ,8.50 ,1.00 ,1,3
908240821780785 ,53.67 ,12.33 ,11.06 ,9.23 ,945.17 ,159.33 ,3.00 ,0.85 ,1,3
908240821782471 ,661.00 ,37.50 ,17.54 ,336.83 ,10718.14 ,504.98 ,11.17 ,1.00 ,2,6
908240821782899 ,8.00 ,5.25 ,2.77 ,0.01 ,1.07 ,138.77 ,2.33 ,1.00 ,1,4
908240821789843 ,18.33 ,17.17 ,0.90 ,0.10 ,1.59 ,855.12 ,1.00 ,1.00 ,1,6
908240821801103 ,258.83 ,49.00 ,131.28 ,177.71 ,2285.89 ,683.37 ,54.83 ,0.15 ,2,6
908240821805699 ,18.83 ,7.00 ,0.77 ,5.97 ,56.96 ,3665.11 ,1.33 ,1.00 ,1,6
908240821805953 ,9.50 ,4.00 ,1.60 ,0.00 ,59.33 ,0.44 ,1.00 ,1.00 ,2,2
908240821809787 ,6.25 ,6.33 ,0.79 ,0.26 ,7.42 ,622.27 ,2.00 ,1.00 ,2,4
908240821810167 ,367.17 ,49.17 ,394.22 ,22.63 ,6728.56 ,41.16 ,113.00 ,0.97 ,2,6
908240821810611 ,162.00 ,6.33 ,16.04 ,0.00 ,3405.21 ,0.02 ,5.00 ,1.00 ,1,4
908240821814889 ,8.67 ,8.50 ,0.59 ,0.00 ,33.23 ,0.47 ,1.00 ,1.00 ,1,3
908240821820483 ,25.50 ,13.00 ,6.93 ,0.57 ,31.91 ,156.18 ,6.00 ,1.00 ,2,2
908240821822625 ,7.50 ,7.00 ,1.03 ,0.00 ,16.78 ,0.08 ,2.00 ,1.00 ,1,6
908240821823523 ,13.80 ,5.50 ,0.37 ,0.00 ,241.47 ,1.69 ,1.00 ,1.00 ,1,5
908240821824279 ,24.50 ,16.75 ,2.95 ,0.00 ,205.08 ,0.19 ,1.50 ,1.00 ,1,4
908240821824701 ,1600.17 ,266.00 ,1.11 ,543.78 ,27546.74 ,339.10 ,1.00 ,1.00 ,2,6
908240821824867 ,424.00 ,27.67 ,77.59 ,27.11 ,6090.89 ,73.00 ,41.50 ,0.74 ,2,6
908240821832657 ,45.50 ,18.00 ,25.82 ,0.06 ,73.38 ,57.23 ,10.67 ,1.00 ,2,4
908240821832955 ,335.60 ,55.20 ,67.40 ,0.01 ,3692.80 ,0.12 ,20.80 ,0.87 ,1,5
908240821833975 ,60.67 ,12.33 ,3.42 ,36.39 ,892.68 ,984.03 ,1.00 ,1.00 ,1,3
908240821841555 ,34.67 ,3.67 ,11.00 ,0.00 ,121.66 ,0.04 ,3.00 ,1.00 ,1,3
908240821842087 ,380.50 ,22.67 ,45.85 ,153.57 ,3091.03 ,911.91 ,14.33 ,1.00 ,2,6
908240821844679 ,439.75 ,4.75 ,4.43 ,30.73 ,7769.92 ,20.73 ,5.00 ,1.00 ,1,4
908240821846077 ,206.00 ,6.00 ,4.63 ,664.02 ,3110.36 ,5940.04 ,5.00 ,0.97 ,1,2
908240821846173 ,17.00 ,4.33 ,9.33 ,0.00 ,69.09 ,0.14 ,2.00 ,1.00 ,1,3
908240821848371 ,109.50 ,7.17 ,5.11 ,0.00 ,1787.55 ,0.50 ,3.00 ,1.00 ,1,6
908240821851415 ,95.00 ,22.00 ,21.60 ,24.34 ,1345.13 ,293.66 ,9.50 ,1.00 ,1,6
908240821852485 ,23.50 ,19.17 ,3.87 ,0.63 ,13.79 ,719.31 ,2.75 ,0.89 ,2,6
908240821852667 ,284.80 ,24.80 ,12.59 ,96.97 ,12521.34 ,154.24 ,11.00 ,0.42 ,2,5
908240821854549 ,94.40 ,8.00 ,0.30 ,0.00 ,1845.61 ,0.10 ,1.00 ,1.00 ,1,5
908240821856081 ,22.60 ,2.75 ,1.60 ,0.29 ,242.83 ,73.59 ,1.00 ,1.00 ,2,5
908240821856507 ,3.00 ,2.00 ,0.22 ,0.30 ,2.91 ,3250.41 ,1.00 ,1.00 ,1,2
908240821859661 ,81.83 ,13.20 ,5.94 ,29.91 ,1116.23 ,8639.19 ,3.80 ,0.92 ,2,6
908240821860615 ,377.17 ,53.50 ,47.21 ,92.17 ,4413.48 ,778.48 ,9.50 ,0.97 ,2,6
908240821861197 ,415.67 ,27.00 ,21.39 ,171.42 ,7663.68 ,292.64 ,10.00 ,1.00 ,1,6
908240821862849 ,115.00 ,14.50 ,1.40 ,52.41 ,1318.11 ,300.29 ,2.00 ,1.00 ,1,6
908240821865881 ,83.67 ,15.33 ,25.81 ,0.27 ,1385.46 ,1.22 ,11.00 ,0.69 ,1,6
908240821866819 ,66.40 ,5.60 ,15.15 ,38.03 ,3724.07 ,211.12 ,8.00 ,1.00 ,2,5
908240821868133 ,292.17 ,27.00 ,94.63 ,56.16 ,10063.39 ,94.57 ,33.83 ,0.45 ,2,6
908240821868789 ,11.25 ,3.00 ,1.73 ,3.73 ,314.36 ,317.84 ,2.00 ,1.00 ,1,4
908240821874827 ,96.50 ,8.50 ,16.47 ,107.70 ,2998.33 ,621.96 ,3.00 ,1.00 ,2,2
908240821880477 ,1107.67 ,22.33 ,81.82 ,1174.35 ,7073.39 ,2703.40 ,23.17 ,0.81 ,2,6
908240821881491 ,204.00 ,30.50 ,4.01 ,2.22 ,3519.03 ,8.67 ,3.00 ,1.00 ,2,6
908240821882495 ,48.80 ,9.00 ,23.90 ,0.65 ,721.15 ,83.31 ,8.00 ,1.00 ,1,5
908240821883445 ,71.00 ,4.50 ,1.01 ,0.00 ,1412.41 ,0.04 ,2.00 ,1.00 ,2,3
908240821889525 ,346.83 ,18.00 ,87.52 ,117.10 ,7161.86 ,299.10 ,26.50 ,0.90 ,2,6
908240821890951 ,344.33 ,6.00 ,0.68 ,405.51 ,1553.76 ,5314.77 ,1.00 ,1.00 ,1,3
908240821892797 ,348.00 ,28.00 ,3.30 ,150.13 ,9192.10 ,277.02 ,2.00 ,1.00 ,1,4
908240821893347 ,262.00 ,77.33 ,181.74 ,0.02 ,0.18 ,1107.30 ,50.33 ,1.00 ,2,6
908240821894203 ,244.00 ,10.83 ,0.47 ,0.03 ,5240.16 ,0.97 ,1.00 ,1.00 ,2,6
908240821894507 ,803.75 ,69.67 ,40.89 ,0.02 ,16872.75 ,0.03 ,12.00 ,1.00 ,2,4
908240821895453 ,242.00 ,10.00 ,4.43 ,9.46 ,4742.48 ,39.68 ,3.00 ,1.00 ,1,3
908240821897885 ,10.00 ,8.33 ,2.95 ,0.00 ,31.51 ,1.21 ,2.00 ,1.00 ,1,6
908240821897921 ,306.83 ,25.33 ,4.79 ,127.48 ,3212.16 ,689.18 ,2.40 ,1.00 ,2,6
908240821898209 ,200.00 ,23.83 ,5.94 ,0.66 ,5344.46 ,1.42 ,3.00 ,1.00 ,1,6
908240821899601 ,204.60 ,19.40 ,44.77 ,0.01 ,2600.95 ,0.05 ,12.60 ,1.00 ,2,5
908240821900943 ,199.33 ,23.00 ,153.92 ,0.01 ,4615.58 ,0.07 ,31.00 ,1.00 ,2,6
908240821901829 ,64.00 ,6.80 ,1.80 ,0.00 ,939.50 ,0.01 ,1.80 ,1.00 ,1,5
908240821902699 ,874.20 ,23.20 ,0.20 ,0.12 ,14550.13 ,0.12 ,1.00 ,0.99 ,1,5
908240821905693 ,813.67 ,36.50 ,10.34 ,851.32 ,6691.69 ,2578.39 ,6.83 ,0.97 ,2,6
908240821905853 ,2059.83 ,88.17 ,200.78 ,1027.69 ,36031.68 ,600.75 ,24.00 ,1.00 ,2,6
908240821910459 ,643.80 ,23.80 ,159.53 ,0.01 ,11007.05 ,0.04 ,15.75 ,0.99 ,2,5
908240821912463 ,1280.67 ,53.83 ,511.70 ,308.31 ,16833.12 ,331.64 ,61.50 ,0.96 ,2,6
908240821912487 ,177.33 ,7.67 ,35.34 ,0.01 ,4623.39 ,0.02 ,7.00 ,1.00 ,2,6
908240821915127 ,272.75 ,45.33 ,54.60 ,204.56 ,2912.05 ,1066.26 ,18.25 ,0.94 ,2,4
908240821919103 ,772.83 ,66.00 ,96.28 ,0.02 ,12050.39 ,0.03 ,39.00 ,1.00 ,2,6
908240821919115 ,106.50 ,4.50 ,13.69 ,128.33 ,1341.23 ,2293.33 ,7.50 ,0.93 ,2,2
908240821919627 ,118.17 ,38.67 ,17.12 ,0.74 ,1375.91 ,10.24 ,9.83 ,1.00 ,1,6
908240821919727 ,60.67 ,3.33 ,37.72 ,47.34 ,990.86 ,1483.96 ,10.33 ,0.94 ,2,3
908240821921403 ,190.50 ,11.50 ,1.20 ,126.63 ,980.96 ,2439.11 ,1.00 ,1.00 ,1,2
908240821922901 ,1165.17 ,42.33 ,84.28 ,461.13 ,25432.38 ,331.35 ,39.00 ,1.00 ,2,6
908240821922931 ,18.00 ,11.00 ,5.55 ,30.39 ,231.14 ,1320.67 ,1.50 ,1.00 ,1,5
908240821923481 ,709.83 ,23.83 ,70.77 ,0.01 ,10525.29 ,0.04 ,33.50 ,0.99 ,2,6
908240821923533 ,30.67 ,7.67 ,7.46 ,6.67 ,545.00 ,208.07 ,3.00 ,1.00 ,2,6
908240821924213 ,160.33 ,14.50 ,2.17 ,0.00 ,1199.20 ,0.02 ,2.67 ,1.00 ,1,6
908240821924309 ,436.50 ,13.50 ,157.24 ,854.86 ,3620.60 ,4229.88 ,26.00 ,0.91 ,2,2
908240821925269 ,356.33 ,47.00 ,226.19 ,216.02 ,15404.23 ,266.08 ,30.17 ,1.00 ,2,6
908240821927307 ,1010.60 ,17.80 ,52.20 ,152.22 ,21111.43 ,231.53 ,11.80 ,0.94 ,2,5
908240821928349 ,866.67 ,10.33 ,4.25 ,0.10 ,15662.04 ,0.21 ,2.50 ,0.97 ,1,6
908240821928743 ,99.17 ,6.67 ,1.17 ,333.53 ,2044.49 ,4357.49 ,1.67 ,0.99 ,2,6
908240821931767 ,320.67 ,13.67 ,71.58 ,77.31 ,2867.76 ,369.20 ,15.00 ,0.99 ,2,3
908240821932599 ,680.50 ,60.17 ,19.34 ,1018.37 ,14594.67 ,1132.70 ,15.50 ,1.00 ,2,6
908240821934315 ,107.40 ,25.00 ,0.88 ,78.28 ,461.03 ,4007.67 ,2.33 ,0.85 ,1,5
908240821934339 ,251.20 ,25.75 ,28.99 ,138.49 ,1996.84 ,1633.16 ,9.80 ,0.98 ,2,5
908240821934675 ,1061.67 ,28.33 ,59.63 ,988.55 ,11398.15 ,1458.57 ,15.50 ,0.99 ,2,6
908240821935683 ,749.20 ,29.80 ,85.93 ,332.91 ,8846.34 ,673.43 ,22.75 ,0.99 ,2,5
908240821935809 ,21.50 ,3.50 ,2.20 ,0.00 ,354.20 ,0.05 ,4.00 ,1.00 ,1,2
908240821941759 ,156.33 ,17.67 ,19.10 ,42.57 ,2438.42 ,406.32 ,6.17 ,1.00 ,2,6
908240821944891 ,647.00 ,28.50 ,37.14 ,447.95 ,7318.74 ,927.10 ,20.83 ,1.00 ,2,6
908240821946303 ,38.00 ,4.67 ,1.22 ,0.00 ,304.05 ,0.09 ,1.00 ,1.00 ,1,4
908240821948455 ,8.75 ,5.25 ,6.12 ,2.17 ,262.68 ,404.77 ,3.00 ,1.00 ,2,4
908240821950787 ,32.00 ,11.33 ,0.85 ,0.00 ,729.43 ,0.01 ,1.25 ,1.00 ,1,6
908240821950865 ,155.75 ,16.67 ,17.09 ,41.35 ,2893.91 ,266.58 ,7.33 ,0.79 ,2,4
908240821951473 ,30.00 ,7.00 ,3.17 ,13.23 ,378.63 ,610.85 ,1.00 ,0.74 ,2,1
908240821951753 ,42.50 ,21.75 ,5.40 ,5.49 ,136.50 ,818.04 ,3.75 ,0.92 ,2,4
908240821953221 ,307.00 ,6.00 ,3.80 ,0.56 ,3434.38 ,2.84 ,1.00 ,1.00 ,1,1
908240821954785 ,190.67 ,8.67 ,2.29 ,45.97 ,1860.89 ,388.64 ,1.00 ,1.00 ,1,3
908240821956133 ,75.50 ,52.17 ,89.03 ,9.53 ,195.21 ,1417.19 ,6.50 ,0.36 ,2,6
908240821957209 ,145.33 ,11.00 ,73.70 ,24.26 ,1151.18 ,522.75 ,8.33 ,0.92 ,2,6
908240821957789 ,1622.17 ,92.50 ,511.28 ,4031.28 ,26080.12 ,2988.24 ,19.67 ,0.90 ,2,6
908240821958449 ,1204.00 ,71.67 ,102.13 ,1860.49 ,21892.70 ,1966.13 ,39.67 ,1.00 ,2,6
908240821958667 ,282.00 ,14.00 ,1.25 ,0.04 ,1909.02 ,0.22 ,1.00 ,0.08 ,1,3
908240821959213 ,51.20 ,7.40 ,8.02 ,0.08 ,522.80 ,1.84 ,6.25 ,1.00 ,2,5
908240821959523 ,197.00 ,19.00 ,6.69 ,0.03 ,1681.29 ,0.27 ,2.25 ,0.96 ,1,5
908240821962145 ,449.33 ,14.00 ,19.96 ,223.21 ,10869.87 ,1839.46 ,7.00 ,0.97 ,2,3
908240821962663 ,393.33 ,16.20 ,4.33 ,401.55 ,11698.90 ,641.67 ,2.67 ,0.31 ,2,6
908240821962715 ,398.33 ,5.00 ,0.18 ,1142.05 ,1572.29 ,6693.01 ,1.00 ,1.00 ,1,3
908240821963109 ,378.50 ,7.00 ,2.28 ,330.83 ,914.26 ,3647.83 ,1.00 ,1.00 ,1,2
908240821963591 ,774.00 ,27.00 ,2.21 ,154.24 ,17043.71 ,234.26 ,2.00 ,1.00 ,2,2
908240821963799 ,23.00 ,5.00 ,1.52 ,229.75 ,2985.56 ,1243.08 ,1.00 ,0.00 ,2,2
908240821964197 ,177.25 ,30.50 ,33.68 ,431.81 ,5009.37 ,1471.29 ,8.00 ,0.00 ,1,4
908240821964963 ,1456.50 ,66.17 ,825.77 ,1764.89 ,18779.22 ,1620.91 ,101.00 ,1.00 ,2,6
908240821965815 ,558.17 ,42.83 ,102.27 ,221.84 ,4218.64 ,903.26 ,37.33 ,0.99 ,2,6
908240821966189 ,123.00 ,10.00 ,17.92 ,120.32 ,4309.52 ,487.94 ,7.00 ,1.00 ,2,1
908240821967117 ,147.00 ,6.00 ,2.33 ,19.05 ,2688.27 ,90.91 ,2.00 ,1.00 ,2,4
908240821967945 ,200.33 ,11.83 ,25.59 ,185.63 ,3283.05 ,1017.05 ,6.00 ,0.94 ,2,6
908240821970937 ,24.33 ,3.33 ,1.65 ,0.00 ,443.43 ,0.07 ,1.00 ,1.00 ,2,3
908240821971237 ,1342.33 ,76.00 ,703.20 ,165.96 ,14897.74 ,219.79 ,110.00 ,1.00 ,2,6
908240821971551 ,51.00 ,6.00 ,5.25 ,0.58 ,248.78 ,40.64 ,4.00 ,1.00 ,1,1
908240821972699 ,254.60 ,6.00 ,0.43 ,19.62 ,6769.05 ,319.51 ,1.00 ,0.99 ,1,5
908240821973059 ,200.50 ,18.50 ,9.78 ,390.36 ,2159.28 ,3159.36 ,3.00 ,0.79 ,2,2
908240821975353 ,369.00 ,22.83 ,1.53 ,596.02 ,4858.82 ,2094.57 ,2.00 ,0.98 ,1,6
908240821976537 ,551.17 ,15.00 ,70.82 ,228.57 ,8669.63 ,168.00 ,12.50 ,0.98 ,2,6
908240821976915 ,119.00 ,5.00 ,13.23 ,0.00 ,1285.75 ,0.02 ,9.50 ,1.00 ,1,2
908240821977739 ,417.20 ,5.00 ,7.35 ,0.01 ,7621.10 ,0.03 ,2.00 ,1.00 ,2,5
908240821978755 ,128.67 ,11.67 ,12.34 ,40.07 ,823.15 ,907.44 ,6.00 ,0.99 ,1,3
908240821979459 ,173.60 ,18.20 ,1.99 ,0.01 ,2312.59 ,0.04 ,1.50 ,0.71 ,1,5
908240821980653 ,231.50 ,4.50 ,11.73 ,2.59 ,4204.98 ,97.71 ,7.00 ,1.00 ,2,2
908240821981601 ,19.50 ,8.75 ,0.47 ,0.00 ,137.83 ,0.11 ,1.00 ,1.00 ,1,4
908240821983143 ,110.50 ,7.00 ,6.30 ,0.00 ,1355.25 ,0.01 ,1.00 ,1.00 ,1,2
908240821983523 ,181.20 ,11.00 ,0.70 ,129.76 ,1623.46 ,2308.23 ,1.00 ,0.82 ,1,5
908240821983811 ,43.20 ,24.20 ,28.83 ,0.00 ,210.45 ,0.12 ,3.40 ,1.00 ,2,5
908240821984017 ,192.80 ,7.80 ,1.67 ,2.37 ,3049.87 ,13.07 ,1.00 ,1.00 ,1,5
908240821984315 ,756.67 ,16.00 ,40.71 ,9843.20 ,8035.60 ,21927.80 ,5.33 ,1.00 ,1,6
908240821986457 ,48.17 ,30.50 ,1.27 ,0.03 ,283.09 ,14.33 ,1.75 ,1.00 ,1,6
908240821986557 ,793.83 ,56.00 ,44.52 ,46.63 ,14353.78 ,72.08 ,13.67 ,1.00 ,2,6
908240821986679 ,83.67 ,19.33 ,21.41 ,0.12 ,1465.48 ,40.66 ,8.33 ,1.00 ,2,6
908240821989017 ,144.00 ,5.67 ,2.75 ,1.27 ,1939.91 ,12.04 ,1.00 ,1.00 ,1,3
908240821991315 ,242.00 ,9.00 ,2.78 ,79.48 ,5478.13 ,459.00 ,1.00 ,1.00 ,2,6
908240821991361 ,503.67 ,22.67 ,84.78 ,264.13 ,8270.57 ,866.21 ,28.67 ,0.95 ,2,6
908240821991855 ,232.20 ,6.40 ,0.50 ,20.20 ,2940.50 ,129.97 ,1.00 ,1.00 ,1,5
908240821993169 ,180.67 ,30.60 ,9.94 ,180.31 ,1735.49 ,2394.41 ,9.25 ,0.96 ,2,6
908240821993841 ,330.75 ,6.33 ,1.00 ,0.01 ,7419.93 ,0.04 ,1.00 ,1.00 ,1,4
908240821994519 ,520.00 ,30.00 ,7.48 ,74.25 ,4700.83 ,1178.91 ,6.40 ,0.00 ,2,6
908240821995239 ,149.00 ,9.00 ,14.45 ,50.97 ,2690.00 ,315.68 ,5.00 ,1.00 ,1,2
908240821995245 ,200.50 ,7.50 ,3.30 ,199.12 ,4655.83 ,747.41 ,2.00 ,0.97 ,1,2
908240821996209 ,75.00 ,7.75 ,1.07 ,1.98 ,1383.91 ,36.59 ,2.33 ,1.00 ,2,5
908240821997205 ,239.25 ,37.75 ,21.02 ,128.69 ,6121.70 ,342.04 ,12.50 ,0.64 ,2,4
908240821997531 ,442.80 ,8.25 ,87.96 ,0.02 ,9070.97 ,0.02 ,13.40 ,1.00 ,2,5
908240821997599 ,231.00 ,17.00 ,41.97 ,0.00 ,539.60 ,0.11 ,22.00 ,0.60 ,2,1
908240822000579 ,39.00 ,9.00 ,3.02 ,0.04 ,718.19 ,272.34 ,3.33 ,1.00 ,2,3
908240822006807 ,166.33 ,20.00 ,7.47 ,66.56 ,2745.94 ,418.06 ,4.00 ,1.00 ,1,3
908240822007293 ,10.17 ,7.67 ,0.81 ,0.07 ,6.37 ,224.59 ,1.00 ,1.00 ,1,6
908240822010873 ,12.33 ,6.00 ,4.65 ,0.35 ,3.83 ,1947.50 ,2.50 ,1.00 ,1,3
908240822011205 ,105.50 ,20.25 ,39.33 ,46.96 ,3340.00 ,242.74 ,2.75 ,1.00 ,2,4
908240822011643 ,52.00 ,5.67 ,6.48 ,1.13 ,1347.43 ,24.28 ,3.83 ,1.00 ,2,6
908240822012131 ,238.33 ,16.50 ,60.35 ,251.05 ,1897.55 ,1871.01 ,15.50 ,1.00 ,2,6
908240822013805 ,61.00 ,11.00 ,4.88 ,129.58 ,1871.22 ,1210.24 ,4.00 ,1.00 ,1,1
908240822015089 ,44.33 ,36.33 ,5.85 ,0.36 ,185.67 ,154.57 ,2.80 ,1.00 ,1,6
908240822015433 ,30.33 ,6.00 ,0.48 ,0.01 ,556.49 ,0.25 ,1.00 ,1.00 ,1,3
908240822016189 ,7.00 ,5.00 ,1.02 ,1.12 ,101.64 ,810.22 ,1.00 ,1.00 ,1,3
908240822017495 ,38.00 ,8.00 ,10.69 ,7.17 ,1701.30 ,73.68 ,3.00 ,1.00 ,1,2
908240822018319 ,7.75 ,8.33 ,0.95 ,5.20 ,298.22 ,304.91 ,1.00 ,1.00 ,1,4
908240822019033 ,26.17 ,13.17 ,9.40 ,0.16 ,3.67 ,1025.39 ,6.17 ,1.00 ,1,6
908240822019153 ,58.33 ,13.50 ,13.68 ,12.56 ,796.38 ,375.84 ,7.50 ,1.00 ,2,6
908240822019737 ,13.80 ,3.60 ,0.81 ,4.81 ,391.48 ,208.68 ,1.33 ,0.81 ,1,5
908240822021841 ,28.40 ,5.75 ,0.90 ,0.05 ,552.36 ,2.76 ,1.00 ,0.85 ,1,5
908240822023129 ,214.00 ,15.00 ,64.43 ,94.15 ,4712.32 ,349.18 ,17.00 ,1.00 ,2,1
908240822025523 ,353.17 ,45.50 ,2.07 ,447.43 ,7143.85 ,1118.20 ,1.00 ,1.00 ,1,6
908240822028455 ,72.60 ,11.00 ,0.45 ,9.61 ,877.83 ,207.07 ,1.00 ,1.00 ,1,5
908240822028707 ,960.33 ,77.50 ,3.64 ,677.31 ,26652.38 ,441.77 ,1.50 ,1.00 ,2,6
908240822029807 ,430.60 ,24.00 ,10.05 ,230.09 ,7084.07 ,2202.85 ,2.00 ,1.00 ,1,5
908240822031919 ,31.50 ,5.00 ,2.23 ,0.13 ,228.06 ,11.98 ,2.67 ,1.00 ,1,4
908240822032837 ,28.33 ,6.33 ,2.60 ,19.16 ,830.60 ,6786.03 ,2.00 ,1.00 ,1,3
908240822034255 ,5.00 ,5.00 ,0.37 ,0.01 ,1.37 ,727.10 ,1.00 ,1.00 ,1,6
908240822035561 ,37.00 ,14.00 ,18.97 ,6.51 ,334.48 ,340.01 ,10.00 ,1.00 ,2,1
908240822038501 ,31.33 ,14.33 ,18.70 ,6.43 ,293.31 ,325.34 ,8.00 ,1.00 ,2,3
908240822040219 ,597.50 ,7.00 ,0.43 ,255.06 ,14561.63 ,392.58 ,2.00 ,1.00 ,1,2
908240822044539 ,17.17 ,9.00 ,6.73 ,0.62 ,103.76 ,139.94 ,4.17 ,1.00 ,2,6
908240822047109 ,38.00 ,11.83 ,13.41 ,11.72 ,741.04 ,269.01 ,9.80 ,1.00 ,2,6
908240822050927 ,106.50 ,9.50 ,19.25 ,19.39 ,572.59 ,1611.87 ,5.75 ,0.84 ,2,4
908240822052879 ,169.50 ,74.00 ,226.16 ,2.56 ,65.54 ,2610.69 ,49.67 ,1.00 ,2,6
908240822059817 ,290.80 ,7.20 ,62.87 ,30.16 ,6872.72 ,243.75 ,27.50 ,0.35 ,1,5
908240822059889 ,20.50 ,6.25 ,6.25 ,0.40 ,312.10 ,7.52 ,3.50 ,1.00 ,2,4
908240822062567 ,87.33 ,11.33 ,8.82 ,8.27 ,1216.19 ,133.66 ,4.17 ,1.00 ,2,6
908240822063409 ,150.67 ,10.00 ,3.63 ,9.48 ,3375.27 ,88.50 ,2.33 ,1.00 ,1,3
908240822064263 ,18.50 ,2.00 ,38.85 ,0.07 ,11.35 ,105.67 ,12.00 ,1.00 ,2,2
908240822066325 ,37.00 ,23.00 ,12.34 ,0.23 ,21.63 ,207.25 ,2.00 ,1.00 ,1,4
908240822066729 ,55.50 ,7.50 ,0.52 ,49.30 ,829.80 ,409.64 ,1.25 ,1.00 ,2,6
908240822068855 ,323.00 ,42.00 ,374.19 ,0.14 ,18.25 ,129.33 ,88.40 ,1.00 ,2,5
908240822069269 ,9.00 ,4.50 ,2.32 ,0.08 ,10.27 ,136.35 ,1.00 ,1.00 ,1,2
908240822069699 ,114.50 ,21.50 ,82.44 ,0.16 ,7.10 ,1086.48 ,59.67 ,1.00 ,2,6
908240822069903 ,798.00 ,40.83 ,48.54 ,1.81 ,12632.13 ,2.19 ,18.17 ,1.00 ,2,6
908240822070735 ,379.17 ,42.33 ,148.36 ,50.76 ,4882.48 ,177.09 ,62.50 ,1.00 ,2,6
908240822079641 ,71.00 ,12.00 ,57.97 ,11.42 ,977.93 ,204.06 ,24.00 ,1.00 ,2,1
908240822084637 ,21.83 ,8.67 ,1.57 ,0.24 ,307.86 ,1053.35 ,1.00 ,1.00 ,2,6
908240822088149 ,38.00 ,3.75 ,18.33 ,14.39 ,713.34 ,467.08 ,6.33 ,1.00 ,1,4
908240822091899 ,6.00 ,4.50 ,0.02 ,0.05 ,2.65 ,327.03 ,1.00 ,1.00 ,1,2
908240822092909 ,5.20 ,3.80 ,0.63 ,0.24 ,7.39 ,1079.28 ,1.00 ,1.00 ,1,5
908240822093549 ,77.50 ,4.75 ,16.15 ,0.00 ,2423.69 ,0.10 ,9.33 ,1.00 ,2,4
908240822094853 ,1225.67 ,33.00 ,254.46 ,734.74 ,12919.13 ,994.87 ,19.17 ,1.00 ,2,6
908240822095419 ,9.83 ,7.00 ,1.35 ,0.52 ,8.24 ,614.38 ,2.00 ,1.00 ,2,6
908240822095547 ,11.00 ,4.00 ,1.16 ,0.00 ,2.79 ,2.56 ,1.50 ,1.00 ,2,4
908240822095565 ,9.67 ,8.00 ,0.41 ,0.15 ,1.45 ,1807.01 ,2.00 ,1.00 ,1,3
908240822095689 ,72.33 ,12.33 ,125.79 ,1.31 ,112.03 ,229.33 ,24.00 ,1.00 ,2,6
908240822097151 ,7.25 ,6.00 ,0.25 ,0.49 ,26.98 ,189.25 ,1.00 ,1.00 ,1,4
908240822098687 ,452.33 ,113.17 ,159.06 ,200.83 ,9730.88 ,364.01 ,60.33 ,1.00 ,2,6
908240822105563 ,74.33 ,8.33 ,31.72 ,0.48 ,944.68 ,1093.61 ,16.00 ,1.00 ,2,3
908240822106765 ,21.50 ,6.50 ,0.77 ,3.15 ,794.43 ,69.23 ,1.00 ,1.00 ,1,2
908240822107477 ,15.00 ,6.00 ,5.77 ,0.37 ,17.10 ,378.15 ,2.00 ,1.00 ,1,1
908240822114919 ,33.25 ,7.50 ,12.47 ,5.05 ,271.60 ,374.54 ,6.00 ,1.00 ,2,4
908240822117103 ,35.83 ,10.00 ,19.93 ,0.51 ,51.03 ,477.36 ,11.33 ,1.00 ,2,6
908240822117343 ,170.00 ,12.00 ,110.98 ,29.11 ,2811.88 ,256.12 ,20.00 ,0.63 ,2,2
908240822121835 ,553.83 ,67.83 ,253.70 ,194.56 ,7485.64 ,343.03 ,87.17 ,0.99 ,2,6
908240822123427 ,107.50 ,60.50 ,53.51 ,3.48 ,12.98 ,4689.08 ,24.33 ,1.00 ,2,6
908240822126269 ,90.80 ,8.00 ,1.30 ,28.63 ,1651.89 ,486.23 ,1.00 ,0.89 ,2,5
908240822132059 ,25.33 ,6.50 ,29.17 ,0.06 ,32.20 ,34.47 ,10.00 ,1.00 ,2,3
908240822132689 ,459.75 ,12.33 ,16.31 ,1.32 ,11194.16 ,8.51 ,9.50 ,1.00 ,2,4
908240822133315 ,7.00 ,4.40 ,1.38 ,0.10 ,44.61 ,47.74 ,1.00 ,1.00 ,2,5
908240822134699 ,349.50 ,10.00 ,63.01 ,72.48 ,6712.89 ,190.10 ,15.50 ,0.08 ,2,2
908240822135527 ,72.00 ,9.00 ,8.17 ,3.79 ,1925.78 ,34.38 ,1.00 ,1.00 ,1,1
